prioridad,archivo_a_subir,referencia,producto,marca,modelo,capacidad,color,categoria,motivo
4,A316.jpg,A316,"Notebook Lenovo 15.6""",Lenovo,"Notebook Lenovo 15.6""",,,Notebooks,La lámina no incluye este modelo exacto
4,A318.jpg,A318,"Notebook Lenovo Ideapad 1 15.6""",Lenovo,"Notebook Lenovo Ideapad 1 15.6""",,,Notebooks,La lámina no incluye este modelo exacto
5,A241.jpg,A241,Amazfit Active 3 Premium,Amazfit,Amazfit Active 3 Premium,,,Relojes,La lámina no incluye este modelo exacto
5,A240.jpg,A240,Amazfit Balance 2,Amazfit,Amazfit Balance 2,,,Relojes,La lámina no incluye este modelo exacto
5,A245.jpg,A245,Amazfit Gts 4 Mini,Amazfit,Amazfit Gts 4 Mini,,,Relojes,La lámina no incluye este modelo exacto
5,A231.jpg,A231,Apple Watch SE 2 40mm,Apple,Apple Watch SE 2 40mm,,,Relojes,La lámina no incluye este modelo exacto
5,A232.jpg,A232,Apple Watch SE 3 40mm,Apple,Apple Watch SE 3 40mm,,,Relojes,La lámina no incluye este modelo exacto
5,A233.jpg,A233,Apple Watch SE 3 44mm,Apple,Apple Watch SE 3 44mm,,,Relojes,La lámina no incluye este modelo exacto
5,A168.jpg,A168,Apple Watch Serie 10 46mm Negro,Apple,Apple Watch Serie 10 46mm,,Negro,Relojes,La lámina no incluye este modelo exacto
5,A234.jpg,A234,Apple Watch Serie 11 42mm,Apple,Apple Watch Serie 11 42mm,,,Relojes,La lámina no incluye este modelo exacto
5,A235.jpg,A235,Apple Watch Serie 11 42mm,Apple,Apple Watch Serie 11 42mm,,,Relojes,La lámina no incluye este modelo exacto
5,A236.jpg,A236,Apple Watch Serie 11 46mm,Apple,Apple Watch Serie 11 46mm,,,Relojes,La lámina no incluye este modelo exacto
5,A237.jpg,A237,Apple Watch Serie 11 46mm,Apple,Apple Watch Serie 11 46mm,,,Relojes,La lámina no incluye este modelo exacto
5,A169.jpg,A169,Apple Watch Ultra 3 49mm Negro,Apple,Apple Watch Ultra 3 49mm,,Negro,Relojes,La lámina no incluye este modelo exacto
5,A238.jpg,A238,Apple Watch Ultra 3 49mm,Apple,Apple Watch Ultra 3 49mm,,,Relojes,La lámina no incluye este modelo exacto
5,A243.jpg,A243,Garmin Forerunner 165 Music,Garmin,Garmin Forerunner 165 Music,,,Relojes,La lámina no incluye este modelo exacto
5,A242.jpg,A242,Garmin Instinct 2X Solar,Garmin,Garmin Instinct 2X Solar,,,Relojes,La lámina no incluye este modelo exacto
5,A251.jpg,A251,Smart Watch T800 Ultra 3,Genérico,Smart Watch T800 Ultra 3,,,Relojes,La lámina no incluye este modelo exacto
5,A249.jpg,A249,Samsung Galaxy Fit 3,Samsung,Samsung Galaxy Fit 3,,,Relojes,La lámina no incluye este modelo exacto
5,A246.jpg,A246,Samsung Galaxy Watch 7 44mm,Samsung,Samsung Galaxy Watch 7 44mm,,,Relojes,La lámina no incluye este modelo exacto
5,A248.jpg,A248,Samsung Galaxy Watch 8 40mm,Samsung,Samsung Galaxy Watch 8 40mm,,,Relojes,La lámina no incluye este modelo exacto
5,A247.jpg,A247,Samsung Galaxy Watch 8 44mm,Samsung,Samsung Galaxy Watch 8 44mm,,,Relojes,La lámina no incluye este modelo exacto
